dataset;num_classes;arch;attack_type;pruning_rates;;;batch_size;wm_batch_size;;;optim;sched;;;save_file;;method;eps;;cuda;pruning_rate;test_acc;wm_acc;attack_time;;;;
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.0001;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.001;False;True;False;cuda:1;99.18870544;76.70272064;92;0.025266619;59;1831.043066
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.0001;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.001;False;False;False;cuda:1;68.08894348;49.96995163;47;1.035102897;66;1061.741916
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.001;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.001;False;True;False;cuda:1;99.63941956;59.5753212;68;0.017892083;39;1375.205138
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.001;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.001;False;False;False;cuda:1;74.49919891;30.7592144;40;0.808490717;71;1128.990163
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.01;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.001;False;True;False;cuda:1;99.62940979;27.81450272;8;0.018205672;28;1120.787371
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.01;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.001;False;False;False;cuda:1;78.10496521;30.74919891;37;0.67539296;57;957.0515916
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.1;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.001;False;True;False;cuda:1;99.55929565;16.88702011;9;0.009751843;26;1078.935962
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.1;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.001;False;False;False;cuda:1;78.08493805;31.71073723;39;0.661521533;22;525.3106158
mnist;10;simplenet_mnist;transfer-learning;[0.1];1.00E-06;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.01_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.01;False;True;False;cuda:1;85.15625;97.90665436;100;0.493283835;86;2456.105741
mnist;10;simplenet_mnist;transfer-learning;[0.1];1.00E-06;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.01_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.01;False;False;False;cuda:1;22.74639511;99.38902283;100;4.640575306;39;731.8165195
