dataset;num_classes;arch;attack_type;pruning_rate;lr;batch_size;wm_batch_size;num_epochs;trg_set_size;loadmodel;save_file;wm_type;method;cuda;test_acc;wm_acc;attack_time
mnist;10;simplenet_mnist;pruning;0.4;0.1;64;32;1;24;wm_protecting_content_simplenet_mnist_24_SGD_MultiStepLR_24;save_results_attacks.csv;content;ProtectingIPP;cuda:0;99.55929565;100;0.076015234
mnist;10;simplenet_mnist;pruning;0.5;0.1;64;32;1;24;wm_protecting_content_simplenet_mnist_24_SGD_MultiStepLR_24;save_results_attacks.csv;content;ProtectingIPP;cuda:0;99.57933044;100;0.083487272
mnist;10;simplenet_mnist;pruning;0.6;0.1;64;32;1;24;wm_protecting_content_simplenet_mnist_24_SGD_MultiStepLR_24;save_results_attacks.csv;content;ProtectingIPP;cuda:0;99.55929565;100;0.078158617
mnist;10;simplenet_mnist;pruning;0.7;0.1;64;32;1;24;wm_protecting_content_simplenet_mnist_24_SGD_MultiStepLR_24;save_results_attacks.csv;content;ProtectingIPP;cuda:0;99.46915436;100;0.082548618
mnist;10;simplenet_mnist;pruning;0.8;0.1;64;32;1;24;wm_protecting_content_simplenet_mnist_24_SGD_MultiStepLR_24;save_results_attacks.csv;content;ProtectingIPP;cuda:0;98.47756195;100;0.079276562
mnist;10;simplenet_mnist;pruning;0.9;0.1;64;32;1;24;wm_protecting_content_simplenet_mnist_24_SGD_MultiStepLR_24;save_results_attacks.csv;content;ProtectingIPP;cuda:0;22.88661766;37.5;0.089840174
mnist;10;simplenet_mnist;pruning;0.1;0.1;64;32;1;120;wm_protecting_content_simplenet_mnist_24_SGD_MultiStepLR_120;save_results_attacks.csv;content;ProtectingIPP;cuda:0;99.53926086;100;0.07096529
mnist;10;simplenet_mnist;pruning;0.2;0.1;64;32;1;120;wm_protecting_content_simplenet_mnist_24_SGD_MultiStepLR_120;save_results_attacks.csv;content;ProtectingIPP;cuda:0;99.53926086;100;0.072587729
mnist;10;simplenet_mnist;pruning;0.3;0.1;64;32;1;120;wm_protecting_content_simplenet_mnist_24_SGD_MultiStepLR_120;save_results_attacks.csv;content;ProtectingIPP;cuda:0;99.53926086;100;0.077759504
mnist;10;simplenet_mnist;pruning;0.4;0.1;64;32;1;120;wm_protecting_content_simplenet_mnist_24_SGD_MultiStepLR_120;save_results_attacks.csv;content;ProtectingIPP;cuda:0;99.53926086;100;0.070938826
mnist;10;simplenet_mnist;pruning;0.5;0.1;64;32;1;120;wm_protecting_content_simplenet_mnist_24_SGD_MultiStepLR_120;save_results_attacks.csv;content;ProtectingIPP;cuda:0;99.54927826;100;0.074446678
mnist;10;simplenet_mnist;pruning;0.6;0.1;64;32;1;120;wm_protecting_content_simplenet_mnist_24_SGD_MultiStepLR_120;save_results_attacks.csv;content;ProtectingIPP;cuda:0;99.46915436;100;0.081600904
