dataset;num_classes;arch;attack_type;pruning_rate;;batch_size;wm_batch_size;;trg_set_size;;save_file;wm_type;method;cuda;test_acc;wm_acc;attack_time
cifar10;10;densenet;pruning;0.5;0.1;64;32;1;500;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;93.99038696;100;0.08473444
cifar10;10;densenet;pruning;0.6;0.1;64;32;1;500;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.02043152;100;0.082799196
cifar10;10;densenet;pruning;0.7;0.1;64;32;1;500;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.06049347;100;0.128222466
cifar10;10;densenet;pruning;0.8;0.1;64;32;1;500;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;93.09896088;96.80000305;0.120404482
cifar10;10;densenet;pruning;0.9;0.1;64;32;1;500;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;69.41105652;9.800000191;0.088299513
cifar10;10;resnet18;pruning;0.1;0.1;64;32;1;500;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.65144348;100;0.136892319
cifar10;10;resnet18;pruning;0.2;0.1;64;32;1;500;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.65144348;100;0.140638828
cifar10;10;resnet18;pruning;0.3;0.1;64;32;1;500;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.63140869;100;0.149067402
cifar10;10;resnet18;pruning;0.4;0.1;64;32;1;500;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.61138153;100;0.158961058
cifar10;10;resnet18;pruning;0.5;0.1;64;32;1;500;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.5212326;100;0.160989523
cifar10;10;resnet18;pruning;0.6;0.1;64;32;1;500;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;91.09575653;100;0.146494627
cifar10;10;resnet18;pruning;0.7;0.1;64;32;1;500;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;58.5837326;100;0.150598288
cifar10;10;resnet18;pruning;0.8;0.1;64;32;1;500;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;20.82331657;81;0.152368307
cifar10;10;resnet18;pruning;0.9;0.1;64;32;1;500;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;10.4967947;12.60000038;0.14924264
cifar10;10;resnet34;pruning;0.1;0.1;64;32;1;500;wm_protecting_noise_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;95.09214783;100;0.262119055
cifar10;10;resnet34;pruning;0.2;0.1;64;32;1;500;wm_protecting_noise_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;95.09214783;100;0.253726006
cifar10;10;resnet34;pruning;0.3;0.1;64;32;1;500;wm_protecting_noise_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;95.09214783;100;0.262481451
cifar10;10;resnet34;pruning;0.4;0.1;64;32;1;500;wm_protecting_noise_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;95.08213043;100;0.261949062
cifar10;10;resnet34;pruning;0.5;0.1;64;32;1;500;wm_protecting_noise_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;95.05208588;100;0.273947477
cifar10;10;resnet34;pruning;0.6;0.1;64;32;1;500;wm_protecting_noise_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;95.06209564;100;0.273349762
cifar10;10;resnet34;pruning;0.7;0.1;64;32;1;500;wm_protecting_noise_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.88181305;100;0.274889231
cifar10;10;resnet34;pruning;0.8;0.1;64;32;1;500;wm_protecting_noise_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;93.46955109;100;0.279491901
cifar10;10;resnet34;pruning;0.9;0.1;64;32;1;500;wm_protecting_noise_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;24.09855843;22;0.263699532
cifar10;10;resnet50;pruning;0.1;0.1;64;32;1;20;wm_protecting_noise_resnet50_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.18068695;100;0.303350925
cifar10;10;resnet50;pruning;0.2;0.1;64;32;1;20;wm_protecting_noise_resnet50_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.18068695;100;0.268301487
cifar10;10;resnet50;pruning;0.3;0.1;64;32;1;20;wm_protecting_noise_resnet50_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.18068695;100;0.267174006
cifar10;10;resnet50;pruning;0.4;0.1;64;32;1;20;wm_protecting_noise_resnet50_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.18068695;100;0.2916677
cifar10;10;resnet50;pruning;0.5;0.1;64;32;1;20;wm_protecting_noise_resnet50_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.17066956;100;0.292073488
cifar10;10;resnet50;pruning;0.6;0.1;64;32;1;20;wm_protecting_noise_resnet50_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.22075653;100;0.300852299
cifar10;10;resnet50;pruning;0.7;0.1;64;32;1;20;wm_protecting_noise_resnet50_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.21073914;100;0.317270279
cifar10;10;resnet50;pruning;0.8;0.1;64;32;1;20;wm_protecting_noise_resnet50_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;93.94030762;100;0.31038022
cifar10;10;resnet50;pruning;0.9;0.1;64;32;1;20;wm_protecting_noise_resnet50_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;87.5901413;85;0.324487925
cifar10;10;resnet50;pruning;0.1;0.1;64;32;1;100;wm_protecting_noise_resnet50_200_SGD_CosineAnnealingLR_100;save_results_pruning_resnet50.csv;noise;ProtectingIPP;cuda:0;93.91025543;100;0.25541687
cifar10;10;resnet50;pruning;0.2;0.1;64;32;1;100;wm_protecting_noise_resnet50_200_SGD_CosineAnnealingLR_100;save_results_pruning_resnet50.csv;noise;ProtectingIPP;cuda:0;93.91025543;100;0.226347685
cifar10;10;resnet50;pruning;0.3;0.1;64;32;1;100;wm_protecting_noise_resnet50_200_SGD_CosineAnnealingLR_100;save_results_pruning_resnet50.csv;noise;ProtectingIPP;cuda:0;93.91025543;100;0.230588436
cifar10;10;resnet50;pruning;0.4;0.1;64;32;1;100;wm_protecting_noise_resnet50_200_SGD_CosineAnnealingLR_100;save_results_pruning_resnet50.csv;noise;ProtectingIPP;cuda:0;93.91025543;100;0.236166716
cifar10;10;resnet50;pruning;0.5;0.1;64;32;1;100;wm_protecting_noise_resnet50_200_SGD_CosineAnnealingLR_100;save_results_pruning_resnet50.csv;noise;ProtectingIPP;cuda:0;93.93029022;100;0.244500875
cifar10;10;resnet50;pruning;0.6;0.1;64;32;1;100;wm_protecting_noise_resnet50_200_SGD_CosineAnnealingLR_100;save_results_pruning_resnet50.csv;noise;ProtectingIPP;cuda:0;93.94030762;100;0.240616798
cifar10;10;resnet50;pruning;0.7;0.1;64;32;1;100;wm_protecting_noise_resnet50_200_SGD_CosineAnnealingLR_100;save_results_pruning_resnet50.csv;noise;ProtectingIPP;cuda:0;93.8401413;100;0.255552053
cifar10;10;resnet50;pruning;0.8;0.1;64;32;1;100;wm_protecting_noise_resnet50_200_SGD_CosineAnnealingLR_100;save_results_pruning_resnet50.csv;noise;ProtectingIPP;cuda:0;93.51963043;100;0.253013372
