dataset;num_classes;arch;attack_type;pruning_rate;;batch_size;wm_batch_size;;trg_set_size;;save_file;wm_type;method;;cuda;test_acc;wm_acc;attack_time
cifar10;10;resnet34;pruning;0.6;0.1;64;32;1;500;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;95.10216522;100;0.260969639
cifar10;10;resnet34;pruning;0.7;0.1;64;32;1;500;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;95.07211304;100;0.250303507
cifar10;10;resnet34;pruning;0.8;0.1;64;32;1;500;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;94.49118805;100;0.261654854
cifar10;10;resnet34;pruning;0.9;0.1;64;32;1;500;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;34.40504837;27;0.295105219
cifar10;10;resnet50;pruning;0.1;0.1;64;32;1;20;wm_protecting_unrelated_resnet50_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;93.82011414;100;0.287800789
cifar10;10;resnet50;pruning;0.2;0.1;64;32;1;20;wm_protecting_unrelated_resnet50_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;93.82011414;100;0.275043964
cifar10;10;resnet50;pruning;0.3;0.1;64;32;1;20;wm_protecting_unrelated_resnet50_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;93.82011414;100;0.288733482
cifar10;10;resnet50;pruning;0.4;0.1;64;32;1;20;wm_protecting_unrelated_resnet50_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;93.82011414;100;0.272853613
cifar10;10;resnet50;pruning;0.5;0.1;64;32;1;20;wm_protecting_unrelated_resnet50_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;93.82011414;100;0.290573835
cifar10;10;resnet50;pruning;0.6;0.1;64;32;1;20;wm_protecting_unrelated_resnet50_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;93.83013153;100;0.275834322
cifar10;10;resnet50;pruning;0.7;0.1;64;32;1;20;wm_protecting_unrelated_resnet50_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;93.75;100;0.304725885
cifar10;10;resnet50;pruning;0.8;0.1;64;32;1;20;wm_protecting_unrelated_resnet50_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;93.50961304;100;0.328870296
cifar10;10;resnet50;pruning;0.9;0.1;64;32;1;20;wm_protecting_unrelated_resnet50_192_SGD_CosineAnnealingLR_20;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;85.71714783;70;0.296506166
cifar10;10;resnet50;pruning;0.1;0.1;64;32;1;100;wm_protecting_unrelated_resnet50_200_SGD_CosineAnnealingLR_100;save_results_pruning_resnet50.csv;unrelated;ProtectingIPP;False;cuda:0;93.90023804;100;0.272506237
cifar10;10;resnet50;pruning;0.2;0.1;64;32;1;100;wm_protecting_unrelated_resnet50_200_SGD_CosineAnnealingLR_100;save_results_pruning_resnet50.csv;unrelated;ProtectingIPP;False;cuda:0;93.90023804;100;0.224994183
cifar10;10;resnet50;pruning;0.3;0.1;64;32;1;100;wm_protecting_unrelated_resnet50_200_SGD_CosineAnnealingLR_100;save_results_pruning_resnet50.csv;unrelated;ProtectingIPP;False;cuda:0;93.90023804;100;0.235337973
cifar10;10;resnet50;pruning;0.4;0.1;64;32;1;100;wm_protecting_unrelated_resnet50_200_SGD_CosineAnnealingLR_100;save_results_pruning_resnet50.csv;unrelated;ProtectingIPP;False;cuda:0;93.90023804;100;0.238591671
cifar10;10;resnet50;pruning;0.5;0.1;64;32;1;100;wm_protecting_unrelated_resnet50_200_SGD_CosineAnnealingLR_100;save_results_pruning_resnet50.csv;unrelated;ProtectingIPP;False;cuda:0;93.89022064;100;0.212546587
cifar10;10;resnet50;pruning;0.6;0.1;64;32;1;100;wm_protecting_unrelated_resnet50_200_SGD_CosineAnnealingLR_100;save_results_pruning_resnet50.csv;unrelated;ProtectingIPP;False;cuda:0;93.92027283;100;0.237239838
cifar10;10;resnet50;pruning;0.7;0.1;64;32;1;100;wm_protecting_unrelated_resnet50_200_SGD_CosineAnnealingLR_100;save_results_pruning_resnet50.csv;unrelated;ProtectingIPP;False;cuda:0;93.88021088;100;0.253623724
cifar10;10;resnet50;pruning;0.8;0.1;64;32;1;100;wm_protecting_unrelated_resnet50_200_SGD_CosineAnnealingLR_100;save_results_pruning_resnet50.csv;unrelated;ProtectingIPP;False;cuda:0;93.81009674;100;0.256523609
cifar10;10;resnet50;pruning;0.9;0.1;64;32;1;100;wm_protecting_unrelated_resnet50_200_SGD_CosineAnnealingLR_100;save_results_pruning_resnet50.csv;unrelated;ProtectingIPP;False;cuda:0;91.66666412;99;0.251754522
cifar10;10;resnet50;pruning;0.1;0.1;64;32;1;500;wm_protecting_unrelated_resnet50_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;93.22916412;100;0.240694761
cifar10;10;resnet50;pruning;0.2;0.1;64;32;1;500;wm_protecting_unrelated_resnet50_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;93.22916412;100;0.273242474
cifar10;10;resnet50;pruning;0.3;0.1;64;32;1;500;wm_protecting_unrelated_resnet50_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;93.22916412;100;0.271441936
cifar10;10;resnet50;pruning;0.4;0.1;64;32;1;500;wm_protecting_unrelated_resnet50_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;93.22916412;100;0.276157379
cifar10;10;resnet50;pruning;0.5;0.1;64;32;1;500;wm_protecting_unrelated_resnet50_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;93.21915436;100;0.296675205
cifar10;10;resnet50;pruning;0.6;0.1;64;32;1;500;wm_protecting_unrelated_resnet50_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;93.15905762;100;0.311206818
cifar10;10;resnet50;pruning;0.7;0.1;64;32;1;500;wm_protecting_unrelated_resnet50_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;93.24919891;100;0.319423437
cifar10;10;resnet50;pruning;0.8;0.1;64;32;1;500;wm_protecting_unrelated_resnet50_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;93.06890869;98.80000305;0.284377098
cifar10;10;resnet50;pruning;0.9;0.1;64;32;1;500;wm_protecting_unrelated_resnet50_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;89.03245544;56.79999924;0.294953585
mnist;10;simplenet_mnist;pruning;0.1;0.1;64;32;1;12;wm_protecting_unrelated_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;99.57933044;100;0.075348616
mnist;10;simplenet_mnist;pruning;0.2;0.1;64;32;1;12;wm_protecting_unrelated_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;99.57933044;100;0.067542791
mnist;10;simplenet_mnist;pruning;0.3;0.1;64;32;1;12;wm_protecting_unrelated_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;99.58934021;100;0.075049162
mnist;10;simplenet_mnist;pruning;0.4;0.1;64;32;1;12;wm_protecting_unrelated_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;99.58934021;100;0.069246292
mnist;10;simplenet_mnist;pruning;0.5;0.1;64;32;1;12;wm_protecting_unrelated_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;99.5993576;100;0.080886126
mnist;10;simplenet_mnist;pruning;0.6;0.1;64;32;1;12;wm_protecting_unrelated_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;99.58934021;100;0.081812382
mnist;10;simplenet_mnist;pruning;0.7;0.1;64;32;1;12;wm_protecting_unrelated_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;99.53926086;100;0.078948498
mnist;10;simplenet_mnist;pruning;0.8;0.1;64;32;1;12;wm_protecting_unrelated_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;98.93830109;100;0.079801321
mnist;10;simplenet_mnist;pruning;0.9;0.1;64;32;1;12;wm_protecting_unrelated_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;41.25600815;58.33333206;0.08460784
mnist;10;simplenet_mnist;pruning;0.1;0.1;64;32;1;24;wm_protecting_unrelated_simplenet_mnist_24_SGD_MultiStepLR_24;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;99.6193924;100;0.069250822
