dataset;num_classes;arch;attack_type;pruning_rates;lr;lr_adj;batch_size;wm_batch_size;num_epochs;patience;optim;sched;trg_set_size;loadmodel;save_file;wm_type;method;eps;pattern_size;;;;cuda;pruning_rate;test_acc;wm_acc;attack_time;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.1_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.1;128;False;False;False;cuda:2;0.7;81.37019348;96;0.122625351;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.1_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.1;128;False;False;False;cuda:2;0.8;62.2996788;63;0.129109144;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.1_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.1;128;False;False;False;cuda:2;0.9;10.11618614;11;0.127931356;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.1;94.5212326;100;0.139696121;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.2;94.50120544;100;0.124501944;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.3;94.5212326;100;0.117336273;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.4;94.47115326;100;0.125902414;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.5;94.34094238;100;0.124741077;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.6;93.62980652;100;0.124215364;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.7;86.40825653;100;0.123347759;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.8;50.12019348;59;0.12795043;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps0.5_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.5;128;False;False;False;cuda:2;0.9;37.05929565;24;0.130434513;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.1;95.09214783;100;0.141455173;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.2;95.09214783;100;0.131458521;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.3;95.10216522;100;0.121660948;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.4;95.05208588;100;0.127679586;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.5;94.9118576;100;0.120229006;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.6;94.50120544;100;0.129852533;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.7;92.92868805;100;0.126992702;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.8;86.07772064;93;0.132246733;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet18_200_eps1.0_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;1;128;False;False;False;cuda:2;0.9;44.75160217;23;0.13047266;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet34_200_eps0.1_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.1;128;False;False;False;cuda:2;0.1;95.04206848;100;0.23765564;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet34_200_eps0.1_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.1;128;False;False;False;cuda:2;0.2;95.04206848;100;0.195879936;;;;;;;;;;;;;;;;;;;;;;;;;;;
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;100;wm_embedded_resnet34_200_eps0.1_numbits128size100_SGD_CosineAnnealingLR_100;save_results_attacks_embedded.csv;;WMEmbeddedSystems;0.1;128;False;False;False;cuda:2;0.3;95.05208588;100;0.204972029;;;;;;;;;;;;;;;;;;;;;;;;;;;
