 ;num_classes;arch;attack_type;pruning_rates;lr;;batch_size;wm_batch_size;num_epochs;patience;optimizer;scheduler;trg_set_size;loadmodel;save_file;wm_type;method;;;;;;cuda;pruning_rate;test_acc;wm_acc;attack_time
cifar10;10;resnet50;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;;;100;wm_weakness_fromscratch_resnet50_195_100_SGD_CosineAnnealingLR_100;save_results_attacks_weakness.csv;;WeaknessIntoStrength;;128;False;False;False;cuda:1;0.1;94.12059021;100;0.300555706
cifar10;10;resnet50;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;;;100;wm_weakness_fromscratch_resnet50_195_100_SGD_CosineAnnealingLR_100;save_results_attacks_weakness.csv;;WeaknessIntoStrength;;128;False;False;False;cuda:1;0.2;94.12059021;100;0.221368074
cifar10;10;resnet50;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;;;100;wm_weakness_fromscratch_resnet50_195_100_SGD_CosineAnnealingLR_100;save_results_attacks_weakness.csv;;WeaknessIntoStrength;;128;False;False;False;cuda:1;0.3;94.12059021;100;0.244113922
cifar10;10;resnet50;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;;;100;wm_weakness_fromscratch_resnet50_195_100_SGD_CosineAnnealingLR_100;save_results_attacks_weakness.csv;;WeaknessIntoStrength;;128;False;False;False;cuda:1;0.4;94.12059021;100;0.236557484
cifar10;10;resnet50;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;;;100;wm_weakness_fromscratch_resnet50_195_100_SGD_CosineAnnealingLR_100;save_results_attacks_weakness.csv;;WeaknessIntoStrength;;128;False;False;False;cuda:1;0.5;94.12059021;100;0.24108839
cifar10;10;resnet50;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;;;100;wm_weakness_fromscratch_resnet50_195_100_SGD_CosineAnnealingLR_100;save_results_attacks_weakness.csv;;WeaknessIntoStrength;;128;False;False;False;cuda:1;0.6;94.12059021;100;0.263586521
cifar10;10;resnet50;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;;;100;wm_weakness_fromscratch_resnet50_195_100_SGD_CosineAnnealingLR_100;save_results_attacks_weakness.csv;;WeaknessIntoStrength;;128;False;False;False;cuda:1;0.7;94.12059021;100;0.253787518
cifar10;10;resnet50;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;;;100;wm_weakness_fromscratch_resnet50_195_100_SGD_CosineAnnealingLR_100;save_results_attacks_weakness.csv;;WeaknessIntoStrength;;128;False;False;False;cuda:1;0.8;94.11058044;100;0.269429922
cifar10;10;resnet50;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;;;100;wm_weakness_fromscratch_resnet50_195_100_SGD_CosineAnnealingLR_100;save_results_attacks_weakness.csv;;WeaknessIntoStrength;;128;False;False;False;cuda:1;0.9;92.77844238;100;0.264896393
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;;;20;wm_weakness_fromscratch_simplenet_mnist_24_100_SGD_MultiStepLR_20;save_results_attacks_weakness.csv;;WeaknessIntoStrength;;128;False;False;False;cuda:1;0.1;99.58934021;100;0.0612607
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;;;20;wm_weakness_fromscratch_simplenet_mnist_24_100_SGD_MultiStepLR_20;save_results_attacks_weakness.csv;;WeaknessIntoStrength;;128;False;False;False;cuda:1;0.2;99.58934021;100;0.055472612
