dataset;num_classes;arch;attack_type;pruning_rates;lr;batch_size;wm_batch_size;num_epochs;patience;trg_set_size;loadmodel;save_file;wm_type;method;;;cuda;pruning_rate;test_acc;wm_acc;attack_time
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.5;95.29246521;100;0.208807468
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.6;95.29246521;100;0.216625214
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.7;95.20232391;100;0.217466354
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.8;95.16226196;100;0.226818323
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.9;93.89022064;100;0.233766317
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.1;94.86177826;100;0.209132671
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.2;94.86177826;100;0.215573788
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.3;94.86177826;100;0.213962555
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.4;94.86177826;100;0.210210562
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.5;94.86177826;100;0.236661434
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.6;94.86177826;100;0.203446388
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.7;94.86177826;100;0.203893423
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.8;94.89183044;100;0.222516537
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.9;94.47115326;100;0.245671988
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.1;94.59134674;100;0.242866278
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.2;94.59134674;100;0.205625296
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.3;94.59134674;100;0.21013689
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.4;94.59134674;100;0.192181826
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.5;94.59134674;100;0.23798418
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.6;94.59134674;100;0.253854036
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.7;94.58132935;100;0.246868134
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.8;94.5212326;100;0.225137711
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.9;92.94871521;80.19999695;0.23664546
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;12;wm_exponential_simplenet_mnist_50_SGD_MultiStepLR_12;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.1;99.609375;100;0.057308674
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;12;wm_exponential_simplenet_mnist_50_SGD_MultiStepLR_12;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.2;99.609375;100;0.053650141
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;12;wm_exponential_simplenet_mnist_50_SGD_MultiStepLR_12;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.3;99.609375;100;0.054899693
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;12;wm_exponential_simplenet_mnist_50_SGD_MultiStepLR_12;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.4;99.609375;100;0.058813095
