dataset;num_classes;arch;attack_type;pruning_rates;lr;batch_size;wm_batch_size;num_epochs;patience;;;;trg_set_size;loadmodel;save_file;wm_type;method;;;;;;cuda;pruning_rate;test_acc;wm_acc;attack_time
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;600;wm_exponential_exponentialnew_simplenet_mnist_50_SGD_MultiStepLR_600;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.9;14.88381386;20.66666603;0.064505577
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_24;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.1;98.46754456;100;0.003633738
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_24;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.2;98.46754456;100;0.001251698
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_24;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.3;98.36738586;100;0.001217842
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_24;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.4;98.26722717;100;0.0012362
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_24;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.5;97.71634674;87.5;0.001202345
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_24;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.6;94.16065979;87.5;0.00122118
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_24;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.7;81.43029022;50;0.001208782
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_24;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.8;68.3493576;50;0.001230717
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;24;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_24;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.9;35.46674728;37.5;0.001247168
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;120;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_120;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.1;97.58613586;100;0.003512621
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;120;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_120;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.2;97.63621521;100;0.001255035
mnist;10;lenet1;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;120;wm_exponential_exponentialnew_lenet1_50_ADAM_MultiStepLR_120;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.3;97.31570435;96.66666412;0.00124836
